itemType,title,barcode,date,checkoutTimes,itemDuration
acbk,Bowiestyle,10040381401,2005/08,1,214
acbk,complete David Bowie,10049449605,2005/08,1,194
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,10034007194,2005/09,1,189
acbk,Bowie loving the alien,10036270907,2005/11,1,45
acbk,Bowie loving the alien,10036270907,2006/01,1,51
acbk,Bowiestyle,10040392689,2006/01,1,21
acbk,Bowiestyle,10040392689,2006/02,1,22
acbk,complete David Bowie,10049449324,2006/02,1,23
acbk,Bowiestyle,10041067496,2006/03,1,40
acbk,complete David Bowie,10049449324,2006/03,1,101
acbk,Bowie loving the alien,10036270907,2006/04,1,46
acbk,Bowiestyle,10040381401,2006/04,2,119.5
acbk,Bowie loving the alien,10036270907,2006/06,2,46
acbk,Bowiestyle,10040392689,2006/06,2,40
acbk,complete David Bowie,10049449324,2006/06,1,0
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,10034007194,2006/06,2,73.5
acbk,Bowiestyle,10041067496,2006/07,1,7
acbk,complete David Bowie,10049449324,2006/07,1,2
acbk,complete David Bowie,10049449605,2006/08,2,57
acbk,Bowie loving the alien,10036270907,2006/09,2,31.5
acbk,Bowiestyle,10040381401,2006/09,3,40
acbk,complete David Bowie,10049449605,2006/09,2,33
acbk,Bowiestyle,10041067496,2006/10,1,21
acbk,Bowie loving the alien,10036270907,2006/11,2,21
acbk,Bowiestyle,10040381401,2006/11,1,16
acbk,complete David Bowie,10049449605,2006/11,5,18.2
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,10034007194,2006/11,2,62
acbk,Bowie loving the alien,10036270907,2006/12,1,12
acbk,complete David Bowie,10049449324,2006/12,2,22
acbk,complete David Bowie,10049449324,2007/01,2,28
acbk,Bowie loving the alien,10036270907,2007/03,1,17
acbk,complete David Bowie,10049449324,2007/03,1,4
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,10034007194,2007/03,1,114
acbk,Bowie loving the alien,10036270907,2007/04,1,12
acbk,Bowiestyle,10041067496,2007/06,3,97
acbk,Bowiestyle,10041067496,2007/07,1,12
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,10034007194,2007/07,2,47
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,10034007194,2007/09,4,8.75
acbk,Bowiestyle,10041067496,2007/10,7,178.8571
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,10034007194,2007/10,2,17.5
acbk,complete David Bowie,10049449605,2007/11,3,49.6667
acbk,Bowie loving the alien,10036270907,2008/01,1,7
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,10034007194,2008/01,1,7
acbk,complete David Bowie,10049449605,2008/02,3,25.3333
acbk,Bowie loving the alien,10036270907,2008/03,1,69
acbk,Bowiestyle,10040381401,2008/03,1,18
acbk,complete David Bowie,10049449605,2008/03,2,19
acbk,complete David Bowie,10049449605,2008/04,3,36.6667
acbk,Bowiestyle,10040381401,2008/05,2,15.5
acbk,complete David Bowie,10049449605,2008/05,1,16
acbk,Bowiestyle,10041067496,2008/06,1,54
acbk,Bowiestyle,10040381401,2008/07,3,95
acbk,complete David Bowie,10049449605,2008/07,4,365.5
acbk,Bowiestyle,10040392689,2008/09,2,15.5
acbk,Bowiestyle,10040392689,2008/10,2,47
acbk,Bowie loving the alien,10036270907,2008/11,2,18.5
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,10034007194,2008/11,2,109
acbk,Bowiestyle,10040381401,2008/12,2,2
acbk,Bowie loving the alien,10036270907,2009/01,1,29
acbk,Bowie loving the alien,10036270907,2009/02,2,197.5
acbk,Bowiestyle,10041067496,2009/02,2,197.5
acbk,Bowiestyle,10040381401,2009/08,3,135.3333
acbk,Bowie a biography,10069544004,2009/10,2,40
acbk,Bowie a biography,10069543980,2009/11,7,38.5714
acbk,Bowie a biography,10069543980,2009/12,8,21.875
acbk,Bowie a biography,10069543972,2010/01,7,20.2857
acbk,Bowie loving the alien,10036270907,2010/01,1,27
acbk,complete David Bowie,10049449605,2010/01,2,41.5
acbk,Bowie a biography,10069543972,2010/02,6,24.3333
acbk,Bowie a biography,10069543998,2010/03,10,27.3
acbk,Bowiestyle,10040381401,2010/03,1,66
acbk,complete David Bowie,10049449605,2010/03,1,64
acbk,Bowie a biography,10069543998,2010/04,2,43
acbk,Bowie a biography,10069543998,2010/05,3,31.6667
acbk,Bowie loving the alien,10036270907,2010/05,1,29
acbk,Bowiestyle,10040381401,2010/05,3,61
acbk,complete David Bowie,10049449605,2010/05,3,45
acbk,Bowie a biography,10069543998,2010/06,2,16
acbk,Bowie a biography,10069543972,2010/07,8,39.25
acbk,complete David Bowie,10049449605,2010/07,2,69
acbk,Bowie a biography,10069543980,2010/08,3,27
acbk,Bowiestyle,10040381401,2010/08,1,116
acbk,Bowie a biography,10069544004,2010/09,4,55.5
acbk,Bowie a biography,10069543972,2010/10,1,27
acbk,Bowie a biography,10069544004,2010/11,5,40.8
acbk,complete David Bowie,10049449605,2010/11,4,28.5
acbk,Bowie a biography,10069544012,2010/12,2,17
acbk,Bowie loving the alien,10036270907,2010/12,2,65
acbk,Bowie a biography,10069544004,2011/02,7,38.4286
acbk,Bowie loving the alien,10036270907,2011/02,1,45
acbk,complete David Bowie,10049449605,2011/02,1,0
acbk,Bowie a biography,10069543972,2011/03,2,59.5
acbk,Bowiestyle,10041067496,2011/03,1,8
acbk,Bowie a biography,10069544012,2011/04,6,16.3333
acbk,Bowie a biography,10069544012,2011/05,5,33
acbk,Bowie a biography,10069543972,2011/06,1,5
acbk,Any day now David Bowie the London years 1947 1974,10073873233,2011/07,1,23
acbk,Bowie a biography,10069543972,2011/07,2,5
acbk,Bowie loving the alien,10036270907,2011/07,1,66
acbk,David Bowie starman,10074255232,2011/07,17,19.1176
acbk,Any day now David Bowie the London years 1947 1974,10073873191,2011/08,4,28.25
acbk,Bowie a biography,10069544004,2011/08,1,51
acbk,David Bowie starman,10074255240,2011/08,15,15.8667
acbk,Any day now David Bowie the London years 1947 1974,10073873209,2011/09,2,10.5
acbk,Bowie a biography,10069543972,2011/09,2,27
acbk,Bowiestyle,10041067496,2011/09,1,32
acbk,David Bowie starman,10074255240,2011/09,9,13.8889
acbk,Any day now David Bowie the London years 1947 1974,10073873191,2011/10,1,20
acbk,Bowie a biography,10069543972,2011/10,1,10
acbk,David Bowie starman,10074255224,2011/10,4,32
acbk,Any day now David Bowie the London years 1947 1974,10073873225,2011/11,1,4
acbk,Bowie a biography,10069543972,2011/11,2,29.5
acbk,David Bowie starman,10074255240,2011/11,6,12.1667
acbk,Any day now David Bowie the London years 1947 1974,10073873191,2011/12,2,31.5
acbk,Bowie a biography,10069544012,2011/12,1,20
acbk,David Bowie starman,10074255216,2011/12,8,17.875
acbk,Any day now David Bowie the London years 1947 1974,10073873233,2012/01,4,29.75
acbk,Bowie a biography,10069543972,2012/01,1,49
acbk,David Bowie starman,10074255257,2012/01,4,37.75
acbk,David Bowie starman,10074255265,2012/02,2,27.5
acbk,Bowie a biography,10069544012,2012/03,1,50
acbk,David Bowie starman,10074255216,2012/03,2,15
acbk,David Bowie starman,10074255257,2012/04,1,36
acbk,Bowiestyle,10041067496,2012/05,1,47
acbk,David Bowie starman,10074255224,2012/05,1,8
