itemType,title,barcode,date,checkoutTimes,itemDuration
accd,Diamond dogs,10043937845,2005/10,2,100
accd,Reality,10046394259,2005/10,1,88
accd,Scary monsters,10044912920,2005/10,1,66
accd,Station to station,10046459474,2005/10,1,1074
accd,Best of Bowie,10045062675,2005/11,2,42.5
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,10038251756,2005/11,3,50
accd,ChangesBowie,10042775063,2005/11,1,44
accd,Diamond dogs,10043937852,2005/11,2,50
accd,Earthling,10045826244,2005/11,1,41
accd,Heathen,10044136512,2005/11,1,40
accd,man who sold the world,10044913415,2005/11,1,40
accd,Station to station,10046459532,2005/11,4,56.75
accd,Aladdin sane,10044292018,2005/12,5,25.2
accd,Best of Bowie,10045062642,2005/12,16,56.3125
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,10038251913,2005/12,3,57
accd,ChangesBowie,10036390440,2005/12,4,19
accd,David live,10053770524,2005/12,5,34.8
accd,Diamond dogs,10044177672,2005/12,4,20.75
accd,Earthling,10045826251,2005/12,1,28
accd,Heathen,10044136678,2005/12,4,37
accd,Heroes,10037787370,2005/12,7,24.4286
accd,Hunky dory,10049926735,2005/12,3,15
accd,Lodger,10040931742,2005/12,5,16.8
accd,Low,10053692371,2005/12,11,15.1818
accd,man who sold the world,10044913464,2005/12,7,29.2857
accd,Outside,10044128337,2005/12,5,19.8
accd,rise and fall of Ziggy Stardust and the spiders from Mars,10045138699,2005/12,12,21.3333
accd,Scary monsters,10045114252,2005/12,9,32.7778
accd,Space oddity,10039936330,2005/12,6,22.1667
accd,Stage,10053755376,2005/12,3,21.6667
accd,Station to station,10046459243,2005/12,7,28.2857
accd,Young Americans,10037759676,2005/12,7,16.7143
accd,Aladdin sane,10044292091,2006/01,16,14.1875
accd,Best of Bowie,10045062667,2006/01,27,19.037
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,10038251756,2006/01,7,15
accd,ChangesBowie,10042774587,2006/01,12,20.4167
accd,David live,10053770524,2006/01,12,12.75
accd,Diamond dogs,10044177672,2006/01,12,9.5
accd,Earthling,10045826251,2006/01,5,12.2
accd,Heathen,10044136678,2006/01,6,14.8333
accd,Heroes,10037464426,2006/01,15,17.5333
accd,Hunky dory,10040890468,2006/01,22,14.4545
accd,Lodger,10040912031,2006/01,7,25.5714
accd,Low,10043448132,2006/01,19,12.4737
accd,man who sold the world,10044913498,2006/01,10,15.6
accd,Outside,10044128352,2006/01,6,20.5
accd,Reality,10046394234,2006/01,11,16.0909
accd,rise and fall of Ziggy Stardust and the spiders from Mars,10039139133,2006/01,13,19.6154
accd,Scary monsters,10044912938,2006/01,13,17.6923
accd,Space oddity,10055308257,2006/01,10,14.2
accd,Stage,10053755376,2006/01,13,23
accd,Station to station,10046459227,2006/01,15,15.2
accd,Young Americans,10053303292,2006/01,11,15.9091
accd,Aladdin sane,10044292091,2006/02,14,13.3571
accd,Best of Bowie,10045062568,2006/02,18,12.5556
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,10038251756,2006/02,6,13
accd,ChangesBowie,10042774595,2006/02,6,9.6667
accd,David live,10053770532,2006/02,19,20.2105
accd,Diamond dogs,10044177672,2006/02,14,10
accd,Earthling,10045826269,2006/02,9,11.4444
accd,Heathen,10044136710,2006/02,2,12.5
accd,Heroes,10037787339,2006/02,8,13.5
accd,Hunky dory,10049926735,2006/02,16,19.0625
accd,Lodger,10040912049,2006/02,11,14.9091
accd,Low,10053692371,2006/02,14,17.0714
accd,man who sold the world,10044913373,2006/02,13,12.1538
accd,Outside,10040778895,2006/02,4,16
accd,Reality,10046393962,2006/02,13,17.6923
accd,rise and fall of Ziggy Stardust and the spiders from Mars,10045138723,2006/02,22,11.3636
accd,Scary monsters,10045114252,2006/02,14,17.7857
accd,Space oddity,10055308232,2006/02,18,19.0556
accd,Stage,10053755426,2006/02,13,9.2308
accd,Station to station,10046459243,2006/02,10,9.7
accd,Young Americans,10037759650,2006/02,10,17
accd,Aladdin sane,10040889379,2006/03,14,10.5
accd,Best of Bowie,10045062683,2006/03,23,13.5652
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,10038251756,2006/03,7,8.8571
accd,ChangesBowie,10042774587,2006/03,10,16.6
accd,David live,10053770532,2006/03,8,11
accd,Diamond dogs,10040890757,2006/03,21,11.5714
accd,Earthling,10045826251,2006/03,8,24.375
accd,Heathen,10044136512,2006/03,7,4.1429
accd,Heroes,10037464442,2006/03,23,14.6957
accd,Hunky dory,10055127129,2006/03,19,12.4211
accd,Lodger,10040912049,2006/03,12,13.75
accd,Low,10043448132,2006/03,24,15.2917
accd,man who sold the world,10044913399,2006/03,13,14.6154
accd,Outside,10044128352,2006/03,15,9.3333
accd,Reality,10046393947,2006/03,9,36.7778
accd,rise and fall of Ziggy Stardust and the spiders from Mars,10045138731,2006/03,30,11.2
accd,Scary monsters,10044912920,2006/03,15,9.8667
accd,Space oddity,10055308240,2006/03,26,11.3462
accd,Stage,10053755350,2006/03,8,12.5
accd,Station to station,10046459524,2006/03,30,16.4667
accd,Young Americans,10053303292,2006/03,26,16.7692
accd,Aladdin sane,10040889379,2006/04,10,10.7
accd,Best of Bowie,10045062675,2006/04,23,13.4783
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,10038251913,2006/04,10,10.4
accd,ChangesBowie,10036390440,2006/04,3,27.3333
accd,David live,10053770516,2006/04,8,16.25
accd,Diamond dogs,10043937852,2006/04,15,40.2667
accd,Earthling,10045826251,2006/04,2,5.5
accd,Heathen,10044136801,2006/04,4,2.75
accd,Heroes,10037787701,2006/04,9,8.8889
accd,Hunky dory,10039134662,2006/04,16,28.375
accd,Lodger,10040931742,2006/04,7,11.8571
accd,Low,10053692389,2006/04,14,16.5714
accd,man who sold the world,10037760302,2006/04,18,10.9444
accd,Outside,10044128337,2006/04,5,37.2
accd,Reality,10046394234,2006/04,7,32.4286
accd,rise and fall of Ziggy Stardust and the spiders from Mars,10039139141,2006/04,16,13.125
accd,Scary monsters,10045114252,2006/04,3,23.3333
accd,Space oddity,10055308257,2006/04,12,9.1667
accd,Stage,10053755350,2006/04,9,19.4444
accd,Station to station,10046459508,2006/04,11,8
accd,Young Americans,10055276231,2006/04,14,19.8571
accd,Aladdin sane,10049886814,2006/05,19,11.4211
accd,Best of Bowie,10045062642,2006/05,20,13.85
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,10038251988,2006/05,7,29
accd,ChangesBowie,10036390440,2006/05,8,13.375
accd,David live,10053770516,2006/05,12,15.0833
accd,Diamond dogs,10044177672,2006/05,13,9.7692
accd,Earthling,10045826244,2006/05,7,7.4286
accd,Heathen,10044136710,2006/05,8,20.125
accd,Heroes,10037464434,2006/05,13,18.2308
accd,Hunky dory,10040890468,2006/05,20,14.05
accd,Lodger,10040912080,2006/05,9,13.3333
accd,Low,10053692389,2006/05,11,11.5455
accd,man who sold the world,10044913373,2006/05,19,20
accd,Reality,10046393947,2006/05,8,12.625
accd,rise and fall of Ziggy Stardust and the spiders from Mars,10045138640,2006/05,18,12.3889
accd,Scary monsters,10045114237,2006/05,16,15.1875
accd,Space oddity,10055308240,2006/05,23,23.2174
accd,Stage,10053755400,2006/05,16,48.25
accd,Station to station,10046459300,2006/05,13,16.2308
accd,Young Americans,10037759627,2006/05,13,9.3846
accd,Aladdin sane,10040889379,2006/06,17,19.0588
accd,Best of Bowie,10045062576,2006/06,21,14.2857
accd,ChangesBowie,10042774587,2006/06,13,18.4615
accd,David live,10053770524,2006/06,10,18.5
accd,Diamond dogs,10044177672,2006/06,13,21.0769
accd,Earthling,10045826244,2006/06,5,7.6
accd,Heathen,10044136512,2006/06,6,9.5
accd,Heroes,10037787339,2006/06,11,16.7273
accd,Hunky dory,10055127137,2006/06,26,8.7692
accd,Lodger,10040931742,2006/06,12,16.5833
accd,Low,10044218500,2006/06,19,19.6316
accd,man who sold the world,10044913373,2006/06,14,14.6429
accd,Outside,10044128337,2006/06,9,20
accd,Reality,10046394234,2006/06,11,14.6364
accd,rise and fall of Ziggy Stardust and the spiders from Mars,10045138657,2006/06,33,13.0303
accd,Scary monsters,10044912920,2006/06,11,8.0909
accd,Space oddity,10039936330,2006/06,19,16.7895
accd,Stage,10053755418,2006/06,9,17.7778
accd,Station to station,10046459490,2006/06,21,17.5714
accd,Young Americans,10037759650,2006/06,16,17.4375
accd,Aladdin sane,10044292018,2006/07,19,17.6316
accd,Best of Bowie,10045062550,2006/07,32,16.375
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,10038251913,2006/07,27,10.1481
accd,ChangesBowie,10036390440,2006/07,5,20.6
accd,David live,10053770532,2006/07,11,8.9091
accd,Diamond dogs,10044177672,2006/07,19,12.2105
accd,Earthling,10045826269,2006/07,7,13
accd,Heathen,10044136512,2006/07,3,3.6667
accd,Heroes,10037787339,2006/07,25,19.2
accd,Hunky dory,10049926735,2006/07,13,13.4615
accd,Lodger,10040912080,2006/07,10,16.9
accd,Low,10053692363,2006/07,13,9.3846
accd,man who sold the world,10044913399,2006/07,19,10.4737
accd,Outside,10044128337,2006/07,10,11.6
accd,Reality,10046393947,2006/07,11,18.0909
accd,rise and fall of Ziggy Stardust and the spiders from Mars,10045138673,2006/07,19,13.4737
accd,Scary monsters,10044912920,2006/07,18,19.5556
accd,Space oddity,10039936306,2006/07,16,22
accd,Stage,10053755426,2006/07,13,10.2308
accd,Station to station,10046459524,2006/07,12,16.3333
accd,Young Americans,10055276231,2006/07,21,14.4762
accd,Aladdin sane,10049886970,2006/08,21,15.8095
accd,Best of Bowie,10045062584,2006/08,26,14.3846
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,10038251913,2006/08,25,14.8
accd,ChangesBowie,10042774595,2006/08,9,13.4444
accd,David live,10053770516,2006/08,12,21.9167
accd,Diamond dogs,10043938736,2006/08,11,15.5455
accd,Earthling,10045826269,2006/08,7,13.4286
accd,Heathen,10044136512,2006/08,4,19.25
accd,Heroes,10037787370,2006/08,8,19
accd,Hunky dory,10039134654,2006/08,12,10.5
accd,Lodger,10040912080,2006/08,10,19.6
accd,Low,10053692348,2006/08,16,18.375
accd,man who sold the world,10044913472,2006/08,20,23.35
