itemType,title,combine,spl,
accd,Tonight,Sep-84,1984,?
accd,Sound vision,Sep-89,1989,?
accd,ChangesBowie,Mar-90,1990,?
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,Jan-98,1998,?
accd,Aladdin sane,Apr-73,1999,
accd,Diamond dogs,May-74,1999,
accd,Heroes,Oct-77,1999,
accd,Hunky dory,Dec-71,1999,
accd,Lets dance,Apr-83,1999,
accd,Lodger,May-79,1999,
accd,Low,Jan-77,1999,
accd,man who sold the world,Nov-70,1999,
accd,Pinups,Oct-73,1999,
accd,rise and fall of Ziggy Stardust and the spiders from Mars,Jun-72,1999,
accd,Scary monsters,Sep-80,1999,
accd,Space oddity,Nov-69,1999,
accd,Station to station,Jan-76,1999,
accd,Young Americans,Mar-75,1999,
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,Nov-04,2000,
accd,Best of Bowie,Apr-99,2002,
accd,Heathen,Jun-02,2002,
accd,David live,Sep-03,2003,?
accd,Reality,Sep-03,2003,
accd,Earthling,Feb-97,2004,
accd,Outside,Sep-95,2004,
accd,Stage,,2005,
accd,Live Santa Monica 72,Jan-09,2008,
acbk,Bowie a biography,Oct-10,2009,
acbk,Bowie loving the alien,Aug-09,2009,?
accd,reality tour,Jun-09,2009,
accd,VH1 storytellers,,2009,
acbk,Any day now David Bowie the London years 1947 1974,Nov-10,2010,
acbk,Bowiestyle,Jun-10,2010,?
acbk,complete David Bowie,Sep-11,2011,?
acbk,David Bowie starman,Jul-11,2011,
acbk,man who sold the world David Bowie and the 1970s,Aug-13,2012,
acbk,Bowie album by album,Aug-13,2013,
acbk,David Bowie is the subject,Apr-13,2013,
accd,next day,Mar-13,2013,
acbk,Bowie the biography,Sep-14,2014,
accd,Bowie the biography,Sep-14,2014,
accd,Nothing has changed,Nov-14,2014,
