itemType,title,date,checkOutTimes,checkOutDuration
acbk,Bowiestyle,2005/08/27,1,214
acbk,complete David Bowie,2005/08/31,1,194
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2005/09/19,1,189
acbk,Bowie loving the alien,2005/11/21,1,45
acbk,Bowie loving the alien,2006/01/27,2,51
acbk,Bowiestyle,2006/01/27,2,21
acbk,complete David Bowie,2006/02/02,2,23
acbk,Bowiestyle,2006/02/19,2,22
acbk,complete David Bowie,2006/03/09,2,101
acbk,complete David Bowie,2006/03/13,1,NULL
acbk,Bowiestyle,2006/03/14,2,40
acbk,Bowiestyle,2006/03/20,1,NULL
acbk,Bowiestyle,2006/04/02,3,119.5
acbk,Bowie loving the alien,2006/04/13,2,46
acbk,Bowiestyle,2006/05/26,1,NULL
acbk,Bowiestyle,2006/06/12,3,40
acbk,complete David Bowie,2006/06/19,1,0
acbk,Bowie loving the alien,2006/06/22,3,46
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2006/06/27,3,73.5
acbk,complete David Bowie,2006/07/05,2,2
acbk,Bowiestyle,2006/07/06,2,7
acbk,complete David Bowie,2006/08/01,2,99
acbk,complete David Bowie,2006/08/17,2,15
acbk,Bowiestyle,2006/08/23,1,NULL
acbk,Bowie loving the alien,2006/09/18,3,31.5
acbk,Bowiestyle,2006/09/18,4,40
acbk,complete David Bowie,2006/09/30,3,33
acbk,Bowiestyle,2006/10/25,2,21
acbk,Bowie loving the alien,2006/11/15,3,21
acbk,Bowiestyle,2006/11/15,2,16
acbk,complete David Bowie,2006/11/15,5,21.5
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2006/11/15,3,62
acbk,complete David Bowie,2006/11/22,2,5
acbk,complete David Bowie,2006/12/12,3,22
acbk,Bowie loving the alien,2006/12/15,2,12
acbk,complete David Bowie,2007/01/09,1,NULL
acbk,complete David Bowie,2007/01/31,2,28
acbk,complete David Bowie,2007/03/08,2,4
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2007/03/20,2,114
acbk,Bowie loving the alien,2007/03/28,2,17
acbk,complete David Bowie,2007/04/12,1,NULL
acbk,Bowiestyle,2007/04/13,1,NULL
acbk,Bowie loving the alien,2007/04/28,2,12
acbk,Bowiestyle,2007/06/12,3,144.5
acbk,Bowiestyle,2007/06/17,2,2
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2007/07/13,3,47
acbk,Bowiestyle,2007/07/25,2,12
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2007/09/04,3,8.5
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2007/09/20,3,9
acbk,Bowiestyle,2007/10/01,4,130
acbk,Bowiestyle,2007/10/07,1,NULL
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2007/10/16,3,17.5
acbk,Bowiestyle,2007/10/31,4,215.5
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2007/11/17,1,NULL
acbk,complete David Bowie,2007/11/26,3,49.6667
acbk,Bowie loving the alien,2008/01/04,2,7
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2008/01/04,2,7
acbk,Bowie loving the alien,2008/01/28,1,NULL
acbk,complete David Bowie,2008/02/11,4,25.3333
acbk,Bowiestyle,2008/03/13,2,18
acbk,complete David Bowie,2008/03/13,3,19
acbk,Bowie loving the alien,2008/03/28,2,69
acbk,complete David Bowie,2008/04/08,3,36.6667
acbk,Bowiestyle,2008/05/01,2,3
acbk,Bowiestyle,2008/05/08,2,28
acbk,complete David Bowie,2008/05/20,2,16
acbk,Bowiestyle,2008/06/22,2,54
acbk,complete David Bowie,2008/07/02,5,365.5
acbk,Bowiestyle,2008/07/12,4,95
acbk,Bowiestyle,2008/09/06,3,15.5
acbk,Bowiestyle,2008/10/07,2,53
acbk,Bowiestyle,2008/10/30,2,41
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2008/10/30,1,NULL
acbk,Bowie loving the alien,2008/11/24,3,18.5
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2008/11/24,3,109
acbk,Bowiestyle,2008/12/02,2,0
