itemType,title,date,checkOutTimes,checkOutDuration
acbk,Bowiestyle,2005/08,1,214
acbk,complete David Bowie,2005/08,1,194
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2005/09,1,189
acbk,Bowie loving the alien,2005/11,1,45
acbk,Bowie loving the alien,2006/01,2,51
acbk,Bowiestyle,2006/01,2,21
acbk,Bowiestyle,2006/02,2,22
acbk,complete David Bowie,2006/02,2,23
acbk,Bowiestyle,2006/03,3,40
acbk,complete David Bowie,2006/03,3,101
acbk,Bowie loving the alien,2006/04,2,46
acbk,Bowiestyle,2006/04,3,119.5
acbk,Bowiestyle,2006/05,1,NULL
acbk,Bowie loving the alien,2006/06,3,46
acbk,Bowiestyle,2006/06,3,40
acbk,complete David Bowie,2006/06,1,0
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2006/06,3,73.5
acbk,Bowiestyle,2006/07,2,7
acbk,complete David Bowie,2006/07,2,2
acbk,Bowiestyle,2006/08,1,NULL
acbk,complete David Bowie,2006/08,4,57
acbk,Bowie loving the alien,2006/09,3,31.5
acbk,Bowiestyle,2006/09,4,40
acbk,complete David Bowie,2006/09,3,33
acbk,Bowiestyle,2006/10,2,21
acbk,Bowie loving the alien,2006/11,3,21
acbk,Bowiestyle,2006/11,2,16
acbk,complete David Bowie,2006/11,7,18.2
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2006/11,3,62
acbk,Bowie loving the alien,2006/12,2,12
acbk,complete David Bowie,2006/12,3,22
acbk,complete David Bowie,2007/01,3,28
acbk,Bowie loving the alien,2007/03,2,17
acbk,complete David Bowie,2007/03,2,4
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2007/03,2,114
acbk,Bowie loving the alien,2007/04,2,12
acbk,Bowiestyle,2007/04,1,NULL
acbk,complete David Bowie,2007/04,1,NULL
acbk,Bowiestyle,2007/06,5,97
acbk,Bowiestyle,2007/07,2,12
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2007/07,3,47
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2007/09,6,8.75
acbk,Bowiestyle,2007/10,9,178.8571
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2007/10,3,17.5
acbk,complete David Bowie,2007/11,3,49.6667
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2007/11,1,NULL
acbk,Bowie loving the alien,2008/01,3,7
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2008/01,2,7
acbk,complete David Bowie,2008/02,4,25.3333
acbk,Bowie loving the alien,2008/03,2,69
acbk,Bowiestyle,2008/03,2,18
acbk,complete David Bowie,2008/03,3,19
acbk,complete David Bowie,2008/04,3,36.6667
acbk,Bowiestyle,2008/05,4,15.5
acbk,complete David Bowie,2008/05,2,16
acbk,Bowiestyle,2008/06,2,54
acbk,Bowiestyle,2008/07,4,95
acbk,complete David Bowie,2008/07,5,365.5
acbk,Bowiestyle,2008/09,3,15.5
acbk,Bowiestyle,2008/10,4,47
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2008/10,1,NULL
acbk,Bowie loving the alien,2008/11,3,18.5
acbk,rise and fall of Ziggy Stardust and the Spiders from Mars David Bowie,2008/11,3,109
acbk,Bowiestyle,2008/12,4,2
acbk,Bowie loving the alien,2009/01,2,29
acbk,Bowie loving the alien,2009/02,3,197.5
acbk,Bowiestyle,2009/02,3,197.5
acbk,Bowiestyle,2009/08,4,135.3333
acbk,Bowie a biography,2009/10,4,40
acbk,Bowie a biography,2009/11,12,38.5714
acbk,Bowie a biography,2009/12,12,21.875
acbk,Bowie a biography,2010/01,12,20.2857
acbk,Bowie loving the alien,2010/01,2,27
acbk,complete David Bowie,2010/01,3,41.5
acbk,Bowie a biography,2010/02,11,24.3333
acbk,Bowie a biography,2010/03,16,27.3
acbk,Bowiestyle,2010/03,2,66
acbk,complete David Bowie,2010/03,2,64
acbk,Bowie a biography,2010/04,4,43
acbk,Bowie a biography,2010/05,6,31.6667
acbk,Bowie loving the alien,2010/05,2,29
acbk,Bowiestyle,2010/05,4,61
acbk,complete David Bowie,2010/05,4,45
acbk,Bowie a biography,2010/06,5,16
acbk,Bowie a biography,2010/07,13,39.25
acbk,complete David Bowie,2010/07,3,69
acbk,Bowie a biography,2010/08,5,27
acbk,Bowiestyle,2010/08,2,116
acbk,Bowie a biography,2010/09,6,55.5
acbk,Bowie a biography,2010/10,2,27
acbk,Bowie a biography,2010/11,8,40.8
acbk,complete David Bowie,2010/11,6,28.5
acbk,Bowie a biography,2010/12,4,17
acbk,Bowie loving the alien,2010/12,3,65
acbk,Bowie a biography,2011/01,2,NULL
acbk,Bowie a biography,2011/02,10,38.4286
acbk,Bowie loving the alien,2011/02,2,45
acbk,complete David Bowie,2011/02,2,0
acbk,Bowie a biography,2011/03,3,59.5
acbk,Bowiestyle,2011/03,2,8
acbk,Bowie a biography,2011/04,8,16.3333
acbk,Bowie a biography,2011/05,8,33
acbk,Bowie a biography,2011/06,2,5
acbk,Any day now David Bowie the London years 1947 1974,2011/07,5,23
acbk,Bowie a biography,2011/07,5,5
acbk,Bowie loving the alien,2011/07,2,66
acbk,David Bowie starman,2011/07,24,19.1176
acbk,Any day now David Bowie the London years 1947 1974,2011/08,8,28.25
acbk,Bowie a biography,2011/08,2,51
acbk,David Bowie starman,2011/08,24,15.8667
acbk,Any day now David Bowie the London years 1947 1974,2011/09,4,10.5
acbk,Bowie a biography,2011/09,4,27
acbk,Bowiestyle,2011/09,2,32
acbk,David Bowie starman,2011/09,19,13.8889
acbk,Any day now David Bowie the London years 1947 1974,2011/10,2,20
acbk,Bowie a biography,2011/10,2,10
acbk,David Bowie starman,2011/10,10,32
acbk,Any day now David Bowie the London years 1947 1974,2011/11,2,4
acbk,Bowie a biography,2011/11,3,29.5
acbk,David Bowie starman,2011/11,10,12.1667
acbk,Any day now David Bowie the London years 1947 1974,2011/12,4,31.5
acbk,Bowie a biography,2011/12,2,20
acbk,David Bowie starman,2011/12,17,17.875
acbk,Any day now David Bowie the London years 1947 1974,2012/01,7,29.75
acbk,Bowie a biography,2012/01,2,49
acbk,David Bowie starman,2012/01,8,37.75
acbk,David Bowie starman,2012/02,4,27.5
acbk,Any day now David Bowie the London years 1947 1974,2012/03,2,NULL
acbk,Bowie a biography,2012/03,2,50
acbk,David Bowie starman,2012/03,4,15
acbk,David Bowie starman,2012/04,3,36
acbk,Bowiestyle,2012/05,2,47
acbk,David Bowie starman,2012/05,2,8
acbk,Any day now David Bowie the London years 1947 1974,2012/06,2,14
acbk,Bowie a biography,2012/06,4,17.5
acbk,David Bowie starman,2012/06,4,43
acbk,Any day now David Bowie the London years 1947 1974,2012/07,4,15.5
acbk,Bowie a biography,2012/07,2,12
acbk,Bowie loving the alien,2012/07,2,130
acbk,David Bowie starman,2012/07,2,80
acbk,Bowie a biography,2012/08,4,21.5
acbk,David Bowie starman,2012/08,5,14.3333
acbk,man who sold the world David Bowie and the 1970s,2012/08,5,17.5
acbk,Any day now David Bowie the London years 1947 1974,2012/09,3,16
acbk,David Bowie starman,2012/09,1,49
acbk,man who sold the world David Bowie and the 1970s,2012/09,18,10.2222
acbk,David Bowie starman,2012/10,4,25
acbk,man who sold the world David Bowie and the 1970s,2012/10,15,25.3333
acbk,Any day now David Bowie the London years 1947 1974,2012/11,2,29
acbk,David Bowie starman,2012/11,1,NULL
acbk,man who sold the world David Bowie and the 1970s,2012/11,6,21.6667
acbk,Bowie a biography,2012/12,2,5
acbk,man who sold the world David Bowie and the 1970s,2012/12,19,11
acbk,Any day now David Bowie the London years 1947 1974,2013/01,4,39.5
acbk,Bowie a biography,2013/01,3,51
acbk,Bowie loving the alien,2013/01,2,6
acbk,David Bowie starman,2013/01,4,17
acbk,man who sold the world David Bowie and the 1970s,2013/01,12,27.3333
acbk,man who sold the world David Bowie and the 1970s,2013/02,3,16
acbk,Any day now David Bowie the London years 1947 1974,2013/03,2,59
acbk,Bowie loving the alien,2013/03,2,3
acbk,Bowiestyle,2013/03,2,10
acbk,David Bowie starman,2013/03,4,11.5
acbk,man who sold the world David Bowie and the 1970s,2013/03,7,23
acbk,Any day now David Bowie the London years 1947 1974,2013/04,3,20
acbk,Bowie a biography,2013/04,2,28
acbk,man who sold the world David Bowie and the 1970s,2013/04,6,27.5
acbk,Bowie a biography,2013/05,2,26
acbk,man who sold the world David Bowie and the 1970s,2013/05,2,24
acbk,Any day now David Bowie the London years 1947 1974,2013/06,2,20
acbk,Bowie a biography,2013/06,1,NULL
acbk,Bowie loving the alien,2013/06,2,20
acbk,Bowiestyle,2013/06,2,20
acbk,David Bowie starman,2013/06,4,20
acbk,man who sold the world David Bowie and the 1970s,2013/06,8,30.6667
acbk,David Bowie starman,2013/07,4,29.5
acbk,man who sold the world David Bowie and the 1970s,2013/07,4,34
acbk,David Bowie is the subject,2013/08,9,17.75
acbk,David Bowie starman,2013/08,6,12
acbk,man who sold the world David Bowie and the 1970s,2013/08,1,NULL
acbk,Any day now David Bowie the London years 1947 1974,2013/09,2,24
acbk,David Bowie is the subject,2013/09,9,14
acbk,David Bowie starman,2013/09,3,9
acbk,man who sold the world David Bowie and the 1970s,2013/09,2,6
acbk,Any day now David Bowie the London years 1947 1974,2013/10,2,14
acbk,Bowie album by album,2013/10,8,15.5
acbk,David Bowie is the subject,2013/10,8,12.75
acbk,David Bowie starman,2013/10,6,21.6667
acbk,man who sold the world David Bowie and the 1970s,2013/10,1,NULL
acbk,Any day now David Bowie the London years 1947 1974,2013/11,2,23
acbk,Bowie album by album,2013/11,6,15.3333
acbk,David Bowie is the subject,2013/11,5,19.5
acbk,David Bowie starman,2013/11,2,42
acbk,man who sold the world David Bowie and the 1970s,2013/11,4,9.5
acbk,Bowie album by album,2013/12,9,24.3333
acbk,David Bowie is the subject,2013/12,6,15
acbk,man who sold the world David Bowie and the 1970s,2013/12,4,23.5
acbk,Bowie album by album,2014/01,1,NULL
acbk,David Bowie is the subject,2014/01,4,17
acbk,David Bowie starman,2014/01,2,33
acbk,man who sold the world David Bowie and the 1970s,2014/01,2,47
acbk,Bowie album by album,2014/02,3,9
acbk,David Bowie is the subject,2014/02,2,46
acbk,David Bowie starman,2014/02,2,46
acbk,man who sold the world David Bowie and the 1970s,2014/02,2,46
acbk,Bowie album by album,2014/03,2,8
acbk,David Bowie starman,2014/03,1,NULL
acbk,Bowie album by album,2014/04,3,8
acbk,man who sold the world David Bowie and the 1970s,2014/04,4,25.5
acbk,Bowie album by album,2014/05,3,13
